mdb,partei,link
https://www.bundestag.de/abgeordnete/biografien/A/abdi_sanae-861028, SPD,"[{'title': 'homepage', 'url': 'https://sanae-abdi.spd.de/'}, {'title': 'twitter', 'url': 'https://twitter.com/abdisanae?lang=de'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/sanae_ccaa/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/sanaeabdispd'}]"
https://www.bundestag.de/abgeordnete/biografien/A/abel_valentin-860100, FDP,"[{'title': 'homepage', 'url': 'https://www.valentin-abel.de'}, {'title': 'twitter', 'url': 'https://twitter.com/Valentin_C_Abel'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/valentin_christian_abel/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/valentinabel.fdp'}, {'title': 'sonstige Website', 'url': 'https://linkedin.com/in/valentin-christian-abel-8a4355114'}]"
https://www.bundestag.de/abgeordnete/biografien/A/abraham_knut-860546, CDU/CSU,"[{'title': 'homepage', 'url': 'https://Knut-Abraham.de'}, {'title': 'facebook', 'url': 'https://facebook.com/knut.abraham'}]"
https://www.bundestag.de/abgeordnete/biografien/A/adler_katja-860102, FDP,"[{'title': 'homepage', 'url': 'http://www.katja-adler.eu'}, {'title': 'twitter', 'url': 'https://twitter.com/katjadler'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/katj_ad'}, {'title': 'facebook', 'url': 'https://facebook.com/katjadler'}, {'title': 'linkedin', 'url': 'https://www.linkedin.com/in/katja-adler-616308ba/'}]"
https://www.bundestag.de/abgeordnete/biografien/A/aeffner_stephanie-860154, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'https://aeffnerstephanie.de'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/stephanie_aeffner/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/people/Stephanie-Aeffner/100084209227731/'}, {'title': 'twitter', 'url': 'https://twitter.com/s_aeffner'}]"
https://www.bundestag.de/abgeordnete/biografien/A/ahmetovic_adis-861876, SPD,"[{'title': 'homepage', 'url': 'http://www.adis-ahmetovic.de'}, {'title': 'facebook', 'url': 'http://www.facebook.de/AdisAhmetovic.SPD'}, {'title': 'Instagram', 'url': 'http://www.instagram.de/adis.a93'}]"
https://www.bundestag.de/abgeordnete/biografien/A/akbulut_goekay-857082, Die Linke,"[{'title': 'homepage', 'url': 'https://goekay-akbulut.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/gokay.akbulut.146'}, {'title': 'twitter', 'url': 'https://twitter.com/akbulutgokay?lang=de'}, {'title': 'linkedin', 'url': 'https://de.linkedin.com/in/g%C3%B6kay-akbulut-87b679200'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/gokayakbulut_mdb_linke/?hl=de'}]"
https://www.bundestag.de/abgeordnete/biografien/A/al_dailami_ali-860114, Die Linke,"[{'title': 'homepage', 'url': 'https://ali-al-dailami.de/'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/alialdailami.mdb/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/Ali-Al-Dailami-107144855027252/'}]"
https://www.bundestag.de/abgeordnete/biografien/A/al_halak_muhanad-860118, FDP,"[{'title': 'homepage', 'url': 'https://muhanad-al-halak.wahl.freie-demokraten.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/AlHalakMuhanad/'}, {'title': 'twitter', 'url': 'https://mobile.twitter.com/halakmuhanad'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/al_halak_m/'}, {'title': 'tiktok', 'url': 'https://vm.tiktok.com/ZMdyN661S/'}]"
https://www.bundestag.de/abgeordnete/biografien/A/alabali_radovan_reem-860830, SPD,"[{'title': 'homepage', 'url': 'https://reem-alabali-radovan.spd.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/reem.alabaliradovan'}, {'title': 'twitter', 'url': 'https://twitter.com/ReemAlabali'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/reem.alabaliradovan/'}]"
